stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
490006520N,,Elms Road  Windmill On The Common (Stop C),,51.4571300,-0.1435460,,,0,,Europe/London,1
490006520S,,Elms Road  Windmill On The Common (Stop J),,51.4565850,-0.1438270,,,0,,Europe/London,1
490006552N,,Imperial College  Elvaston Pl (Stop RV),,51.4981120,-0.1797600,,,0,,Europe/London,1
490006691W,,Exhibition Road (Stop RB),,51.5017590,-0.1732890,,,0,,Europe/London,1
490006722S,,Falcon Grove,,51.4680480,-0.1705890,,,0,,Europe/London,1
490006768E,,Wandsworth Park Riverside Quarter Pier (Stop CC),,51.4609570,-0.2015930,,,0,,Europe/London,1
490006768W,,Wandsworth Park Riverside Quarter Pier (Stop L),,51.4611510,-0.2029820,,,0,,Europe/London,1
490006796S,,Fentiman Road (Stop S),,51.4795000,-0.1150310,,,0,,Europe/London,1
490006796T,,Fentiman Road (Stop T),,51.4801410,-0.1140830,,,0,,Europe/London,1
490006825E,,Festing Road (Stop F),,51.4682960,-0.2233920,,,0,,Europe/London,1
490006825W,,Festing Road (Stop J),,51.4679760,-0.2225690,,,0,,Europe/London,1
